,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,mauve_back,0,1,sapadi,sapadi,,adv.,6,6,,0,6,6
1,1,1,grey_back,7,2,trānaḥ,trānaḥ,,?,6,6,,0,6,13
2,2,1,deep_sky_back,14,3,ājñeyā,ā-jñeya,,f. sg. nom.,6,6,{ pfp. [1,0,6,20
3,3,1,grey_back,21,4,stram,stram,,?,5,5,,0,5,26
4,4,1,deep_sky_back,27,5,prayuktavān,pra-yuktavat,,m. sg. nom.,11,11,{ ppa. }[pra-yuj_1,0,11,38
5,5,2,pink_back,0,1,sa,sa,,iic.,2,2, sence of lemma = 1,0,2,2
6,6,2,mauve_back,2,1,padi,pad,,ind.,4,4, sence of lemma = 2,2,6,6
7,7,2,deep_sky_back,14,3,ājñe,ājñā,,f. du. acc.,4,4, sence of lemma = 2,0,4,18
8,8,2,deep_sky_back,14,3,ājñe,ājñā,,f. du. nom.,4,4, sence of lemma = 2,0,4,18
9,9,2,light_blue_back,18,3,yā,yad,,f. sg. nom.,2,2,,4,6,20
10,10,2,yellow_back,27,5,prayukta,pra-yukta,,iic.,8,8,{ pp. }[pra-yuj_1,0,8,35
11,11,2,cyan_back,35,5,vān,vas,,m. sg. nom.,3,3, sence of lemma = 3,8,11,38
12,12,3,deep_sky_back,35,5,vān,vāt,,m. sg. nom.,3,3,{ ppr. [2,8,11,38
13,13,4,lawngreen_back,35,5,vān,vāt,,m. sg. voc.,3,3,{ ppr. [2,8,11,38
