,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,light_blue_back,0,1,tayoḥ,tad,,n. du. loc.,5,5,,0,5,5
1,1,1,light_blue_back,0,1,tayoḥ,tad,,n. du. g.,5,5,,0,5,5
2,2,1,light_blue_back,0,1,tayoḥ,tad,,m. du. loc.,5,5,,0,5,5
3,3,1,light_blue_back,0,1,tayoḥ,tad,,m. du. g.,5,5,,0,5,5
4,4,1,light_blue_back,0,1,tayoḥ,tad,,f. du. loc.,5,5,,0,5,5
5,5,1,light_blue_back,0,1,tayoḥ,tad,,f. du. g.,5,5,,0,5,5
6,6,1,deep_sky_back,6,2,tapasā,tapas,,n. sg. i.,6,6,,0,6,12
7,7,1,deep_sky_back,6,2,tapasā,tapas,,m. sg. i.,6,6,,0,6,12
8,8,1,deep_sky_back,13,3,prasannaḥ,pra-sanna,,m. sg. nom.,9,9,{ pp. }[pra-sad_1,0,9,22
9,9,1,deep_sky_back,23,4,viṣṇuḥ,viṣṇu,,m. sg. nom.,6,6,,0,6,29
10,10,1,yellow_back,30,5,vāmana,vāmana,,iic.,6,6,,0,6,36
11,11,1,yellow_back,36,5,mata,mata,,iic.,4,4,{ pp. }[man,6,10,40
12,12,1,carmin_back,40,5,reṇa,raṇ,,pft. ac. pl. 2,4,4,,10,14,44
13,13,1,light_blue_back,45,6,tayoḥ,tad,,n. du. loc.,5,5,,0,5,50
14,14,1,light_blue_back,45,6,tayoḥ,tad,,n. du. g.,5,5,,0,5,50
15,15,1,light_blue_back,45,6,tayoḥ,tad,,m. du. loc.,5,5,,0,5,50
16,16,1,light_blue_back,45,6,tayoḥ,tad,,m. du. g.,5,5,,0,5,50
17,17,1,light_blue_back,45,6,tayoḥ,tad,,f. du. loc.,5,5,,0,5,50
18,18,1,light_blue_back,45,6,tayoḥ,tad,,f. du. g.,5,5,,0,5,50
19,19,1,deep_sky_back,51,7,putraḥ,putra,,m. sg. nom.,6,6,,0,6,57
20,20,1,carmin_back,58,8,āsīt,ās,,inj. [5] ac. sg. 3,4,4, sence of lemma = 2,0,4,62
21,21,1,carmin_back,58,8,āsīt,ās,,aor. [5] ac. sg. 3,4,4, sence of lemma = 2,0,4,62
22,22,1,carmin_back,58,8,āsīt,as,,impft. [2] ac. sg. 3,4,4, sence of lemma = 1,0,4,62
23,23,2,carmin_back,6,2,tapa,tap,,imp. [1] ac. sg. 2,4,4,,0,4,10
24,24,2,light_blue_back,10,2,sā,tad,,f. sg. nom.,2,2,,4,6,12
25,25,2,yellow_back,30,5,vāma,vāma,,iic.,4,4, sence of lemma = 1,0,4,34
26,26,2,yellow_back,30,5,vāma,vāma,,iic.,4,4, sence of lemma = 2,0,4,34
27,27,2,yellow_back,30,5,vāma,vāma,,iic.,4,4, sence of lemma = 3,0,4,34
28,28,2,yellow_back,34,5,nāma,nāman,,iic.,4,4,,4,8,38
29,29,2,deep_sky_back,38,5,tāreṇa,tāra,,m. sg. i.,6,6,,8,14,44
30,30,2,deep_sky_back,38,5,tāreṇa,tāra,,n. sg. i.,6,6,,8,14,44
31,31,3,carmin_back,30,5,vāma,vā,,imp. [2] ac. pl. 1,4,4, sence of lemma = 2,0,4,34
32,32,3,deep_sky_back,34,5,nāma,nāman,,n. sg. acc.,4,4,,4,8,38
33,33,3,deep_sky_back,34,5,nāma,nāman,,n. sg. nom.,4,4,,4,8,38
34,34,3,cyan_back,38,5,tāreṇa,tārā,,m. sg. i.,6,6,,8,14,44
35,35,3,cyan_back,38,5,tāreṇa,tārā,,n. sg. i.,6,6,,8,14,44
36,36,4,light_blue_back,30,5,vām,yuṣmad,,m. du. g.,3,3,,0,3,33
37,37,4,light_blue_back,30,5,vām,yuṣmad,,m. du. dat.,3,3,,0,3,33
38,38,4,light_blue_back,30,5,vām,yuṣmad,,m. du. acc.,3,3,,0,3,33
39,39,4,yellow_back,33,5,anāma,anāman,,iic.,5,5,,3,8,38
40,40,4,deep_sky_back,39,5,areṇa,ara,,m. sg. i.,5,5,,9,14,44
41,41,4,deep_sky_back,39,5,areṇa,ara,,n. sg. i.,5,5,,9,14,44
42,42,5,mauve_back,30,5,vā,vā,,conj.,2,2, sence of lemma = 1,0,2,32
43,43,5,deep_sky_back,32,5,manām,manā,,f. sg. acc.,5,5,,2,7,37
44,44,5,yellow_back,37,5,a,a,,iic.,1,1,,7,8,38
45,45,5,deep_sky_back,39,5,āreṇa,āra,,n. sg. i.,5,5,,9,14,44
46,46,5,deep_sky_back,39,5,āreṇa,āra,,m. sg. i.,5,5,,9,14,44
47,47,6,carmin_back,31,5,āmanāma,ā-mnā,,impft. [1] ac. pl. 1,7,7,,1,8,38
48,48,7,carmin_back,31,5,āmanāma,ā-mnā,,imp. [1] ac. pl. 1,7,7,,1,8,38
49,49,8,carmin_back,31,5,āmana,ā-mnā,,imp. [1] ac. sg. 2,5,5,,1,6,36
50,50,8,deep_sky_back,36,5,matā,mata,,f. sg. nom.,4,4,{ pp. }[man,6,10,40
51,51,9,carmin_back,31,5,āman,am,,impft. [1] ac. pl. 3,4,4,,1,5,35
52,52,9,deep_sky_back,35,5,amatā,amat,,n. sg. i.,5,5,{ ppr. [1,5,10,40
53,53,9,deep_sky_back,35,5,amatā,amat,,m. sg. i.,5,5,{ ppr. [1,5,10,40
54,54,10,deep_sky_back,31,5,aman,amat,,m. sg. nom.,4,4,{ ppr. [1,1,5,35
