,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,light_blue_back,0,1,tayoḥ,tad,,n. du. loc.,5,5,,0,5,5
1,1,1,light_blue_back,0,1,tayoḥ,tad,,n. du. g.,5,5,,0,5,5
2,2,1,light_blue_back,0,1,tayoḥ,tad,,m. du. loc.,5,5,,0,5,5
3,3,1,light_blue_back,0,1,tayoḥ,tad,,m. du. g.,5,5,,0,5,5
4,4,1,light_blue_back,0,1,tayoḥ,tad,,f. du. loc.,5,5,,0,5,5
5,5,1,light_blue_back,0,1,tayoḥ,tad,,f. du. g.,5,5,,0,5,5
6,6,1,yellow_back,6,2,nigraha,nigraha,,iic.,7,7,,0,7,13
7,7,1,deep_sky_back,13,2,samarthā,samartha,,f. sg. nom.,7,8,,7,14,20
8,8,1,mauve_back,21,3,api,api,,conj.,3,3,,0,3,24
9,9,1,mauve_back,21,3,api,api,,prep.,3,3,,0,3,24
10,10,1,light_blue_back,24,3,aham,asmad,,m. sg. nom.,4,4,,3,7,28
11,11,1,deep_sky_back,29,4,yajñe,yajña,,m. sg. loc.,5,5,,0,5,34
12,12,1,yellow_back,35,5,niyama,niyama,,iic.,6,6,,0,6,41
13,13,1,light_blue_back,49,6,kim,kim,,n. sg. acc.,3,3,,0,3,52
14,14,1,light_blue_back,49,6,kim,kim,,n. sg. nom.,3,3,,0,3,52
15,15,1,mauve_back,52,6,api,api,,conj.,3,3,,3,6,55
16,16,1,mauve_back,52,6,api,api,,prep.,3,3,,3,6,55
17,17,1,mauve_back,56,7,kartum,kṛ,,inf.,6,6, sence of lemma = 1,0,6,62
18,18,1,deep_sky_back,63,8,asamarthaḥ,asamartha,,m. sg. nom.,9,10,,0,9,72
19,19,1,carmin_back,73,9,asmi,as,,pr. [2] ac. sg. 1,4,4, sence of lemma = 1,0,4,77
20,20,2,lawngreen_back,19,2,u,u,,ind.,1,1,,13,14,20
21,21,2,deep_sky_back,40,5,anusāram,anusāra,,m. sg. acc.,8,8,,5,13,48
22,22,2,light_blue_back,56,7,kā,kim,,f. sg. nom.,2,2,,0,2,58
23,23,2,deep_sky_back,58,7,ṛtum,ṛtu,,m. sg. acc.,4,4,,2,6,62
24,24,2,yellow_back,63,8,a,a,,iic.,1,1,,0,1,64
25,25,2,deep_sky_back,64,8,samarthaḥ,samartha,,m. sg. nom.,8,9,,1,9,72
26,26,3,cyan_back,40,5,anusāram,anusāra,,n. sg. acc.,8,8,,5,13,48
27,27,3,cyan_back,40,5,anusāram,anusāra,,n. sg. nom.,8,8,,5,13,48
